,Random-seed,Epoch,Latent-size,Window-size,Margin,Precision,Recall,Best f1-score
0,2021,100,3,120,15,0.9434817650614548,1,0.9709190814369394
0,2021,100,3,120,15,0.9484240687679083,0.9430199430199431,0.9457142857142857
0,2021,100,3,120,15,1,0.30824372759856633,0.4712328767123288
0,2021,100,3,120,15,0.9434817650614548,1,0.9709190814369394
0,2021,100,3,120,15,0.9923076923076923,0.9280575539568345,0.9591078066914498
0,2021,100,3,120,15,0.005504587155963303,1,0.010948905109489052
0,2021,100,3,120,15,0.019176536943034405,0.33663366336633666,0.03628601921024547
0,2021,100,3,120,15,0.8708891595615104,0.3898582333696837,0.5386064030131826
0,2021,100,3,120,15,1,0.5,0.6666666666666666
0,2021,500,3,120,15,1,0.5,0.6666666666666666
0,2021,50,3,120,15,1,0.5,0.6666666666666666
0,2021,200,3,120,15,0.004909983633387889,1,0.009771986970684038
0,2021,100,3,120,15,0.019176536943034405,0.33663366336633666,0.03628601921024547
